State,Account_length,Area_code,International_plan,Voice_mail_plan,Num_vmail_messages,Total_day_minutes,Total_day_calls,Total_eve_minutes,Total_eve_calls,Total_night_minutes,Total_night_calls,Total_intl_minutes,Total_intl_calls,Customer_service_calls,Total_day_charge,Total_eve_charge,Total_night_charge,Total_intl_charge,Churn
TX,224,510,yes,no,18,76.6,35,228.6,117,156.1,150,11.8,1,8,13.02,19.43,7.02,3.19,1
TX,34,510,no,yes,45,102.9,78,122.5,61,199.0,8,6.1,13,5,17.49,10.41,8.96,1.65,1
FL,45,408,no,no,45,204.4,66,246.6,23,170.8,128,10.0,15,3,34.75,20.96,7.69,2.7,0
TX,61,408,no,no,16,192.4,50,189.0,59,240.9,55,12.8,9,0,32.71,16.07,10.84,3.46,0
OH,83,415,no,no,1,161.1,156,208.4,144,212.2,166,6.9,11,8,27.39,17.71,9.55,1.86,1
CA,123,408,no,no,39,290.8,129,117.3,105,249.2,86,15.3,12,2,49.44,9.97,11.21,4.13,1
TX,102,415,no,no,4,213.3,5,225.2,59,135.3,17,7.1,19,5,36.26,19.14,6.09,1.92,0
FL,16,510,no,yes,38,246.0,158,134.9,8,213.0,41,8.6,8,0,41.82,11.47,9.58,2.32,0
OH,66,415,no,no,47,177.3,53,226.7,142,204.9,110,12.8,1,5,30.14,19.27,9.22,3.46,0
IN,168,415,no,yes,15,150.6,87,163.9,76,159.6,72,13.9,18,2,25.6,13.93,7.18,3.75,0
IN,145,510,no,yes,16,151.3,144,236.1,155,144.1,64,11.0,14,2,25.72,20.07,6.48,2.97,0
OH,119,415,no,yes,26,230.1,4,135.2,80,195.3,160,10.9,14,6,39.12,11.49,8.79,2.94,0
FL,162,408,yes,no,6,221.7,1,122.0,125,184.3,157,14.8,0,8,37.69,10.37,8.29,4.0,0
OH,234,408,no,no,51,168.2,57,172.9,136,263.7,132,6.3,17,5,28.59,14.7,11.87,1.7,1
CA,124,408,no,no,7,205.5,11,213.3,55,244.6,9,5.3,6,0,34.94,18.13,11.01,1.43,0
CA,144,408,no,no,7,232.0,4,142.7,93,162.9,59,4.8,9,8,39.44,12.13,7.33,1.3,0
IN,102,415,no,no,22,149.5,105,210.2,126,186.1,154,7.7,8,4,25.42,17.87,8.37,2.08,0
TX,188,415,no,no,31,161.5,147,243.7,35,229.5,71,8.1,18,1,27.46,20.71,10.33,2.19,0
FL,66,510,yes,no,42,204.1,128,133.8,127,235.5,155,11.0,10,2,34.7,11.37,10.6,2.97,1
IN,194,415,no,no,46,83.4,55,210.3,19,264.2,172,12.7,3,4,14.18,17.88,11.89,3.43,0
TX,218,415,no,no,17,205.1,69,227.0,54,196.6,51,12.5,0,1,34.87,19.3,8.85,3.38,0
TX,13,415,no,no,37,119.2,55,190.4,59,208.6,61,12.4,11,2,20.26,16.18,9.39,3.35,0
CA,184,510,no,no,11,230.8,53,195.9,162,103.9,116,7.4,0,7,39.24,16.65,4.68,2.0,0
KY,111,408,yes,no,14,296.0,138,129.6,128,140.0,124,11.0,16,5,50.32,11.02,6.3,2.97,1
KY,159,415,no,yes,27,142.4,2,221.9,44,249.2,59,8.0,19,1,24.21,18.86,11.21,2.16,0
OH,34,510,no,yes,37,107.1,94,203.1,167,141.0,85,11.6,8,1,18.21,17.26,6.34,3.13,0
CA,39,510,no,no,49,170.3,27,207.5,165,109.5,167,10.1,7,0,28.95,17.64,4.93,2.73,0
TX,195,510,no,no,30,165.7,110,303.2,23,241.5,142,12.4,3,6,28.17,25.77,10.87,3.35,1
FL,136,408,no,yes,51,215.7,106,189.7,3,178.7,94,16.4,7,5,36.67,16.12,8.04,4.43,1
KY,215,415,yes,no,8,192.6,119,216.1,90,157.1,6,9.9,9,5,32.74,18.37,7.07,2.67,1
TX,206,510,no,yes,7,164.0,132,264.4,106,120.1,38,7.0,17,4,27.88,22.47,5.4,1.89,1
KY,120,408,no,no,45,184.9,123,197.6,12,120.5,6,5.6,14,2,31.43,16.8,5.42,1.51,0
KY,126,510,yes,no,18,119.4,89,164.2,148,175.9,139,7.6,18,7,20.3,13.96,7.92,2.05,1
KY,55,510,no,no,50,224.8,15,219.9,100,192.4,13,12.9,19,2,38.22,18.69,8.66,3.48,0
FL,27,510,no,yes,7,267.4,30,165.7,159,267.2,33,11.3,10,4,45.46,14.08,12.02,3.05,0
CA,118,510,no,yes,33,115.3,27,260.0,165,192.8,121,10.6,3,7,19.6,22.1,8.68,2.86,0
FL,221,510,no,no,3,94.7,134,225.7,94,182.7,166,11.0,8,2,16.1,19.18,8.22,2.97,1
IN,231,408,no,yes,30,158.3,136,156.9,159,184.4,72,11.9,7,4,26.91,13.34,8.3,3.21,0
TX,53,415,no,no,37,114.0,38,137.6,56,78.4,63,5.8,15,5,19.38,11.7,3.53,1.57,0
CA,39,415,no,no,2,111.1,26,207.8,157,173.5,96,12.7,12,0,18.89,17.66,7.81,3.43,0
CA,65,415,yes,yes,34,104.3,75,212.8,70,234.3,11,11.1,4,1,17.73,18.09,10.54,3.0,0
CA,145,415,no,yes,18,169.5,116,137.8,165,204.7,125,6.1,12,6,28.82,11.71,9.21,1.65,0
CA,233,408,no,no,42,157.8,88,239.3,153,241.9,33,10.9,18,8,26.83,20.34,10.89,2.94,0
FL,158,408,no,yes,28,200.2,106,233.3,99,258.4,26,6.5,1,3,34.03,19.83,11.63,1.76,0
CA,181,408,no,yes,9,149.6,121,217.1,106,111.2,149,11.4,11,4,25.43,18.45,5.0,3.08,0
OH,13,510,no,no,11,114.3,125,237.9,89,164.9,17,10.3,8,3,19.43,20.22,7.42,2.78,0
TX,21,510,no,no,45,179.1,97,150.5,107,254.2,173,7.3,0,2,30.45,12.79,11.44,1.97,0
CA,147,510,no,no,29,122.8,32,153.4,129,205.7,171,11.1,13,1,20.88,13.04,9.26,3.0,0
TX,53,415,no,yes,29,207.7,90,187.0,42,191.9,145,12.2,6,2,35.31,15.9,8.64,3.29,0
OH,19,510,no,no,17,90.0,119,168.3,42,255.8,36,8.5,16,1,15.3,14.31,11.51,2.3,0
OH,57,415,no,no,23,63.1,1,225.1,62,157.2,134,12.1,13,7,10.73,19.13,7.07,3.27,0
TX,25,510,no,no,31,93.1,141,240.3,72,160.5,67,9.2,16,0,15.83,20.43,7.22,2.48,0
KY,214,415,no,no,8,157.4,12,164.8,116,157.0,79,12.4,1,4,26.76,14.01,7.06,3.35,1
IN,31,510,no,no,46,164.5,23,156.6,47,128.2,85,9.7,8,0,27.97,13.31,5.77,2.62,0
KY,81,510,no,no,23,187.4,68,242.7,4,188.0,59,13.2,14,4,31.86,20.63,8.46,3.56,0
KY,183,408,no,yes,25,149.5,33,150.9,75,209.7,47,7.5,15,2,25.42,12.83,9.44,2.03,0
FL,23,510,no,no,2,134.3,86,185.7,34,143.6,99,7.6,8,8,22.83,15.78,6.46,2.05,0
KY,32,510,no,no,22,257.4,18,149.5,92,194.2,83,7.9,3,0,43.76,12.71,8.74,2.13,0
CA,190,408,no,no,10,243.1,29,170.4,143,167.7,94,10.3,14,0,41.33,14.48,7.55,2.78,0
FL,74,415,no,yes,9,233.3,48,124.7,82,195.9,51,9.6,9,7,39.66,10.6,8.82,2.59,0
FL,10,408,no,yes,49,196.7,143,264.1,59,278.0,76,10.8,6,2,33.44,22.45,12.51,2.92,0
OH,228,408,no,no,35,201.0,113,250.6,106,204.6,83,6.9,5,6,34.17,21.3,9.21,1.86,1
KY,200,415,no,no,12,136.5,115,159.6,116,205.7,53,8.1,14,4,23.2,13.57,9.26,2.19,0
OH,54,510,no,no,28,187.8,138,223.2,50,310.0,168,13.4,1,1,31.93,18.97,13.95,3.62,0
TX,52,415,no,yes,37,129.2,77,128.2,126,172.6,169,11.0,14,6,21.96,10.9,7.77,2.97,1
IN,148,510,no,yes,12,123.1,34,231.1,90,233.1,149,11.7,17,6,20.93,19.64,10.49,3.16,0
FL,160,510,yes,no,25,92.7,70,155.8,81,171.3,38,9.3,13,2,15.76,13.24,7.71,2.51,0
TX,114,415,no,no,19,201.9,156,260.9,58,242.4,22,10.8,17,5,34.32,22.18,10.91,2.92,1
TX,14,408,no,no,4,188.8,107,225.5,63,151.1,47,8.7,2,4,32.1,19.17,6.8,2.35,0
CA,178,415,no,no,19,163.6,53,181.7,104,181.9,112,5.0,19,0,27.81,15.44,8.19,1.35,0
IN,156,510,no,no,13,156.6,22,179.6,140,169.7,119,12.8,13,0,26.62,15.27,7.64,3.46,0
TX,110,415,yes,no,44,81.2,151,207.2,153,143.6,160,10.5,5,1,13.8,17.61,6.46,2.84,0
TX,53,415,no,no,13,193.8,9,153.8,69,85.2,126,8.0,13,6,32.95,13.07,3.83,2.16,0
IN,152,510,no,no,7,163.0,60,256.2,130,222.0,40,10.0,1,2,27.71,21.78,9.99,2.7,0
IN,79,408,yes,no,47,228.4,135,215.3,11,165.6,157,8.7,15,8,38.83,18.3,7.45,2.35,1
TX,22,415,no,yes,12,187.9,47,248.2,40,185.3,46,14.0,15,2,31.94,21.1,8.34,3.78,0
IN,30,510,no,no,23,218.1,111,77.5,104,193.0,71,11.8,16,3,37.08,6.59,8.68,3.19,0
TX,191,510,no,yes,14,179.6,125,200.8,64,120.8,56,6.9,15,7,30.53,17.07,5.44,1.86,1
TX,4,415,no,no,50,189.8,156,212.4,62,178.8,61,6.5,15,3,32.27,18.05,8.05,1.76,0
CA,205,408,no,no,0,230.3,86,199.8,7,103.5,85,10.7,7,6,39.15,16.98,4.66,2.89,1
KY,59,415,no,yes,21,169.6,25,201.1,158,175.2,56,10.4,5,4,28.83,17.09,7.88,2.81,0
TX,215,408,no,no,33,205.5,164,183.9,10,280.9,71,11.4,17,5,34.94,15.63,12.64,3.08,0
OH,8,408,no,yes,49,156.0,51,312.9,16,171.0,123,9.6,13,7,26.52,26.6,7.69,2.59,1
FL,210,408,no,no,50,172.9,5,212.2,154,138.0,152,8.3,15,3,29.39,18.04,6.21,2.24,0
KY,12,408,no,no,39,266.1,7,206.1,123,173.5,167,11.4,7,5,45.24,17.52,7.81,3.08,0
KY,119,415,no,yes,2,214.6,16,246.8,94,284.7,16,11.6,17,1,36.48,20.98,12.81,3.13,0
KY,159,510,no,no,25,150.8,75,172.0,154,175.7,79,13.4,13,8,25.64,14.62,7.91,3.62,1
CA,206,510,no,yes,13,202.8,33,135.6,114,116.3,38,12.0,16,8,34.48,11.53,5.23,3.24,1
TX,34,510,no,yes,40,110.9,146,245.4,122,101.4,142,7.7,7,5,18.85,20.86,4.56,2.08,0
CA,82,510,no,no,7,168.1,69,183.3,86,178.1,16,10.7,15,5,28.58,15.58,8.01,2.89,1
TX,98,510,yes,no,48,128.5,81,268.0,55,243.9,34,9.2,9,6,21.85,22.78,10.98,2.48,1
CA,127,510,no,yes,15,204.4,117,264.9,93,223.8,32,7.4,9,3,34.75,22.52,10.07,2.0,0
CA,75,415,no,no,41,169.8,164,83.9,97,259.3,145,5.2,17,6,28.87,7.13,11.67,1.4,1
FL,105,408,no,no,20,195.3,37,203.6,18,233.9,157,16.1,17,0,33.2,17.31,10.53,4.35,0
OH,204,510,yes,no,9,221.8,142,253.8,56,200.6,164,8.5,8,6,37.71,21.57,9.03,2.3,0
CA,49,415,no,yes,24,155.1,101,112.2,158,57.4,110,9.7,0,0,26.37,9.54,2.58,2.62,0
FL,79,510,no,no,37,157.1,39,218.3,15,274.8,134,10.6,15,7,26.71,18.56,12.37,2.86,0
IN,185,510,no,no,21,178.0,136,232.9,44,121.3,73,10.3,9,5,30.26,19.8,5.46,2.78,0
OH,223,408,no,no,48,133.5,52,197.3,154,324.8,155,3.2,14,0,22.7,16.77,14.62,0.86,0
CA,241,408,no,no,47,179.4,117,197.6,153,158.6,97,9.6,4,0,30.5,16.8,7.14,2.59,0
KY,93,408,yes,no,46,182.2,65,259.9,156,160.8,17,14.8,16,3,30.97,22.09,7.24,4.0,0
IN,154,510,no,yes,45,192.4,79,125.3,112,171.2,174,9.4,8,6,32.71,10.65,7.7,2.54,0
IN,18,510,no,no,3,202.7,51,241.6,120,200.7,22,14.4,5,4,34.46,20.54,9.03,3.89,1
FL,96,510,no,no,3,93.4,128,223.0,102,126.0,147,10.1,1,4,15.88,18.96,5.67,2.73,1
IN,214,408,no,no,29,110.6,157,265.1,126,152.2,30,9.1,12,7,18.8,22.53,6.85,2.46,0
OH,38,415,no,no,1,117.0,123,152.6,43,250.5,13,10.4,17,1,19.89,12.97,11.27,2.81,0
CA,209,510,no,no,28,185.0,111,273.8,108,272.4,22,10.1,19,3,31.45,23.27,12.26,2.73,0
CA,87,510,no,no,42,164.6,0,130.6,156,140.3,1,10.0,3,3,27.98,11.1,6.31,2.7,0
KY,88,510,no,no,35,57.5,15,183.5,108,218.0,156,8.4,9,7,9.78,15.6,9.81,2.27,1
FL,50,415,no,yes,20,285.1,144,141.8,109,171.7,72,6.3,10,5,48.47,12.05,7.73,1.7,1
KY,8,510,no,no,20,72.6,111,236.2,110,227.1,58,11.5,12,8,12.34,20.08,10.22,3.11,0
IN,169,415,no,no,47,181.6,111,161.9,129,151.5,32,10.3,16,8,30.87,13.76,6.82,2.78,0
KY,134,510,yes,no,20,210.4,101,256.7,133,239.5,171,14.5,10,3,35.77,21.82,10.78,3.92,0
OH,69,415,no,no,3,141.1,81,115.6,8,192.8,139,9.9,3,6,23.99,9.83,8.68,2.67,0
CA,172,510,no,no,0,214.6,149,177.7,14,173.4,82,5.9,13,2,36.48,15.1,7.8,1.59,0
IN,121,408,no,no,25,125.6,98,289.3,57,198.0,169,10.9,2,5,21.35,24.59,8.91,2.94,0
KY,64,408,no,no,50,189.2,158,162.0,1,278.0,34,10.2,11,0,32.16,13.77,12.51,2.75,1
FL,157,408,no,no,1,62.3,39,253.0,130,194.9,40,8.8,3,4,10.59,21.51,8.77,2.38,1
OH,156,408,yes,no,8,243.4,154,234.8,54,215.4,109,11.7,15,5,41.38,19.96,9.69,3.16,0
OH,139,510,no,no,44,180.0,35,134.6,52,204.9,140,11.3,6,4,30.6,11.44,9.22,3.05,0
KY,121,408,no,yes,17,93.9,124,210.6,93,205.1,38,6.8,19,6,15.96,17.9,9.23,1.84,0
CA,65,415,no,yes,47,214.0,3,276.4,71,265.8,162,8.7,18,3,36.38,23.49,11.96,2.35,0
KY,107,408,yes,no,47,268.1,117,179.5,39,244.9,115,13.0,17,4,45.58,15.26,11.02,3.51,1
IN,147,408,no,yes,41,130.0,24,165.5,38,126.6,71,7.4,8,3,22.1,14.07,5.7,2.0,0
KY,137,408,no,no,40,168.6,94,216.4,140,229.6,160,9.5,10,8,28.66,18.39,10.33,2.57,0
OH,155,510,no,yes,10,152.2,77,189.3,103,287.1,88,10.6,18,1,25.87,16.09,12.92,2.86,0
KY,162,408,no,no,24,138.4,157,125.2,104,187.4,163,6.9,16,0,23.53,10.64,8.43,1.86,0
CA,172,415,no,yes,25,132.7,11,188.9,164,246.2,140,9.7,17,3,22.56,16.06,11.08,2.62,0
FL,196,408,no,no,35,145.1,26,175.7,54,50.7,55,9.6,5,5,24.67,14.93,2.28,2.59,1
TX,100,408,no,no,41,148.0,62,193.3,159,147.8,173,9.1,2,7,25.16,16.43,6.65,2.46,0
KY,82,408,no,no,34,160.8,54,79.8,141,329.3,98,5.9,13,3,27.34,6.78,14.82,1.59,0
CA,143,415,no,no,37,156.8,157,218.2,64,241.2,45,10.0,8,0,26.66,18.55,10.85,2.7,1
CA,51,408,no,no,2,221.1,81,118.3,154,211.8,99,8.3,2,8,37.59,10.06,9.53,2.24,1
FL,141,415,no,no,40,216.3,13,237.3,23,299.4,112,12.9,1,2,36.77,20.17,13.47,3.48,0
OH,83,415,no,yes,34,97.2,55,253.6,114,140.0,110,11.1,18,5,16.52,21.56,6.3,3.0,1
CA,177,408,no,no,49,147.9,146,100.7,112,268.5,171,7.9,5,7,25.14,8.56,12.08,2.13,0
CA,198,415,no,no,39,247.5,85,264.8,21,153.7,173,8.9,2,4,42.08,22.51,6.92,2.4,1
CA,112,510,no,no,21,195.9,25,194.2,77,205.1,73,10.3,8,6,33.3,16.51,9.23,2.78,0
CA,56,408,no,yes,7,198.1,91,253.8,44,112.3,68,8.9,17,8,33.68,21.57,5.05,2.4,1
IN,204,408,no,no,14,192.9,35,246.6,135,179.3,30,5.9,6,0,32.79,20.96,8.07,1.59,0
IN,179,415,no,yes,44,165.9,145,127.7,63,271.5,124,10.8,1,7,28.2,10.85,12.22,2.92,1
OH,165,415,yes,no,6,177.8,77,157.3,96,172.4,23,11.4,0,1,30.23,13.37,7.76,3.08,0
KY,145,408,no,no,18,158.2,111,280.7,114,226.6,31,12.0,4,0,26.89,23.86,10.2,3.24,0
CA,186,510,no,yes,39,226.2,22,138.0,20,173.7,112,12.5,2,3,38.45,11.73,7.82,3.38,0
FL,215,415,no,no,41,158.7,118,218.0,159,223.3,15,7.8,6,5,26.98,18.53,10.05,2.11,1
KY,218,415,no,no,16,173.9,115,162.2,104,240.2,107,12.1,5,7,29.56,13.79,10.81,3.27,1
FL,157,510,no,no,0,219.7,141,154.8,44,163.4,23,6.9,0,0,37.35,13.16,7.35,1.86,0
KY,161,510,no,no,44,162.3,21,199.1,43,153.3,33,11.0,18,0,27.59,16.92,6.9,2.97,0
OH,60,408,yes,no,28,176.2,27,309.6,40,178.3,127,8.1,19,1,29.95,26.32,8.02,2.19,0
CA,219,510,no,yes,12,160.7,42,238.4,95,177.1,51,11.1,13,8,27.32,20.26,7.97,3.0,0
CA,217,408,no,no,47,175.2,75,147.3,138,90.7,47,5.9,9,3,29.78,12.52,4.08,1.59,0
TX,120,510,no,no,28,162.5,17,209.8,100,218.1,86,11.5,1,6,27.63,17.83,9.81,3.11,1
FL,183,415,no,no,40,151.1,99,107.0,114,220.6,118,7.9,10,2,25.69,9.1,9.93,2.13,0
KY,138,408,no,yes,41,141.8,123,87.3,17,103.0,37,11.3,15,0,24.11,7.42,4.64,3.05,0
KY,175,408,no,no,5,170.7,108,208.5,138,245.3,129,11.0,16,0,29.02,17.72,11.04,2.97,0
IN,23,408,no,yes,4,235.0,35,235.7,26,178.4,68,11.0,4,8,39.95,20.03,8.03,2.97,0
TX,213,510,no,no,33,213.7,124,278.1,101,217.7,81,10.1,17,3,36.33,23.64,9.8,2.73,0
IN,149,415,no,yes,10,94.7,6,218.6,28,186.6,117,6.8,15,2,16.1,18.58,8.4,1.84,0
IN,235,408,yes,no,8,156.8,22,200.3,148,217.6,52,14.0,9,4,26.66,17.03,9.79,3.78,0
IN,13,408,no,yes,37,145.5,161,183.1,28,206.3,49,9.6,5,0,24.74,15.56,9.28,2.59,0
FL,101,408,no,yes,39,95.6,116,226.4,136,247.4,156,9.6,7,2,16.25,19.24,11.13,2.59,0
FL,161,408,no,yes,40,194.9,113,139.2,101,200.1,73,13.7,5,3,33.13,11.83,9.0,3.7,1
OH,24,415,yes,no,8,174.8,95,166.1,90,240.7,105,7.6,3,5,29.72,14.12,10.83,2.05,1
OH,108,510,no,yes,7,289.2,20,140.9,4,276.9,49,9.9,4,8,49.16,11.98,12.46,2.67,0
IN,11,415,no,no,43,162.0,69,173.8,96,195.6,15,10.5,5,2,27.54,14.77,8.8,2.84,0
TX,17,408,no,no,39,138.1,52,163.8,14,185.8,86,9.4,14,3,23.48,13.92,8.36,2.54,0
KY,196,415,no,no,2,132.9,83,160.4,4,230.4,93,10.7,5,4,22.59,13.63,10.37,2.89,0
FL,175,408,no,no,12,155.6,105,168.0,147,88.7,69,8.4,18,7,26.45,14.28,3.99,2.27,0
TX,25,510,no,yes,18,211.9,40,210.5,100,152.8,171,9.8,19,8,36.02,17.89,6.88,2.65,1
CA,94,510,yes,no,33,218.1,159,263.4,80,150.9,99,10.4,7,2,37.08,22.39,6.79,2.81,0
FL,201,510,no,yes,31,338.0,127,214.4,113,229.8,143,13.7,12,2,57.46,18.22,10.34,3.7,0
FL,21,408,no,no,48,114.8,141,171.3,3,208.1,27,14.5,3,6,19.52,14.56,9.36,3.92,0
OH,84,415,no,yes,15,184.7,87,221.9,33,268.5,153,10.5,16,8,31.4,18.86,12.08,2.84,1
KY,211,510,no,no,35,143.0,102,205.5,39,265.2,85,13.2,13,0,24.31,17.47,11.93,3.56,0
KY,211,408,no,no,17,198.9,106,208.5,149,94.1,117,8.0,17,0,33.81,17.72,4.23,2.16,0
CA,140,408,no,no,13,254.7,16,198.8,126,108.9,10,16.1,14,1,43.3,16.9,4.9,4.35,0
CA,37,415,yes,yes,29,226.6,24,286.3,141,202.1,128,9.3,18,5,38.52,24.34,9.09,2.51,0
FL,42,510,no,no,1,114.8,63,204.9,135,116.5,68,9.9,10,2,19.52,17.42,5.24,2.67,0
IN,145,408,no,yes,12,217.0,85,171.9,127,93.5,170,11.4,6,7,36.89,14.61,4.21,3.08,0
OH,101,415,no,no,26,65.9,118,161.1,66,160.2,173,12.3,0,4,11.2,13.69,7.21,3.32,0
OH,48,510,no,no,51,51.5,34,245.1,156,87.4,104,9.5,2,2,8.76,20.83,3.93,2.57,0
FL,103,415,no,no,16,166.6,36,140.7,113,144.5,35,4.6,18,7,28.32,11.96,6.5,1.24,0
TX,28,415,no,no,30,213.0,54,267.8,118,238.4,65,11.8,0,7,36.21,22.76,10.73,3.19,1
IN,41,408,no,no,14,198.8,144,104.2,93,173.8,133,7.5,3,1,33.8,8.86,7.82,2.03,0
FL,99,408,no,no,19,282.9,155,261.3,11,280.9,154,12.1,10,4,48.09,22.21,12.64,3.27,1
IN,47,408,no,no,4,185.9,128,239.9,51,169.3,124,12.0,6,2,31.6,20.39,7.62,3.24,0
IN,240,415,yes,no,6,174.2,52,178.0,1,229.9,153,10.5,6,6,29.61,15.13,10.35,2.84,1
IN,146,408,no,no,17,242.4,72,162.5,0,171.4,140,12.4,13,1,41.21,13.81,7.71,3.35,0
FL,206,415,no,yes,10,159.8,112,261.6,54,188.3,75,8.7,14,8,27.17,22.24,8.47,2.35,0
OH,227,415,no,no,31,201.0,12,290.0,103,178.8,145,13.7,4,1,34.17,24.65,8.05,3.7,0
OH,236,408,no,no,49,204.2,46,169.3,98,230.0,37,10.4,13,1,34.71,14.39,10.35,2.81,0
IN,105,510,no,yes,26,127.5,159,229.0,161,239.1,5,9.5,12,5,21.68,19.46,10.76,2.57,0
TX,124,510,no,no,25,200.9,27,249.0,67,311.3,125,13.1,19,2,34.15,21.17,14.01,3.54,1
KY,199,510,no,no,36,298.0,52,230.1,81,200.8,91,8.2,17,2,50.66,19.56,9.04,2.21,0
FL,233,415,no,yes,44,241.4,30,202.7,139,229.6,27,4.3,0,1,41.04,17.23,10.33,1.16,0
KY,13,415,yes,no,27,134.7,7,180.5,49,144.6,88,6.6,12,4,22.9,15.34,6.51,1.78,0
TX,210,415,no,no,49,306.3,71,213.9,20,237.1,4,13.9,19,4,52.07,18.18,10.67,3.75,0
FL,229,408,no,no,1,217.2,123,95.7,9,201.4,110,10.7,6,6,36.92,8.13,9.06,2.89,0
IN,141,415,no,no,19,202.9,97,267.0,84,56.2,107,10.5,5,7,34.49,22.7,2.53,2.84,0
OH,100,408,no,no,3,174.8,86,114.7,103,153.1,44,12.5,8,7,29.72,9.75,6.89,3.38,1
KY,31,408,no,yes,12,216.9,73,158.1,88,88.0,111,10.8,9,2,36.87,13.44,3.96,2.92,0
CA,130,510,no,no,23,186.0,100,183.1,113,160.1,1,9.3,2,5,31.62,15.56,7.2,2.51,1
CA,16,510,no,no,47,181.1,24,150.1,114,216.6,89,8.8,6,4,30.79,12.76,9.75,2.38,1
TX,137,510,no,no,37,172.8,114,143.6,13,183.9,114,6.8,10,3,29.38,12.21,8.28,1.84,0
IN,73,408,no,no,39,232.6,32,270.5,167,233.3,62,7.1,11,5,39.54,22.99,10.5,1.92,0
KY,166,408,no,no,47,226.6,134,289.8,103,73.2,91,10.5,11,3,38.52,24.63,3.29,2.84,0
IN,203,408,no,no,44,171.9,96,277.4,81,251.7,69,9.6,12,7,29.22,23.58,11.33,2.59,1
KY,54,415,no,no,28,98.0,111,241.8,29,213.3,3,11.3,7,8,16.66,20.55,9.6,3.05,0
TX,184,408,no,no,35,181.9,95,323.2,13,131.7,157,9.8,3,0,30.92,27.47,5.93,2.65,0
TX,214,510,no,no,1,141.2,4,186.7,109,198.7,56,7.1,19,0,24.0,15.87,8.94,1.92,0
CA,225,510,no,no,40,154.4,120,181.9,144,318.3,46,10.7,0,3,26.25,15.46,14.32,2.89,0
IN,100,408,no,no,17,173.3,109,200.6,61,279.1,145,10.5,5,5,29.46,17.05,12.56,2.84,0
FL,109,408,no,yes,48,122.7,16,271.5,109,290.6,107,10.0,1,7,20.86,23.08,13.08,2.7,1
CA,87,510,no,no,7,93.0,75,229.3,149,188.5,94,10.4,13,0,15.81,19.49,8.48,2.81,0
IN,173,408,no,no,14,195.8,51,286.4,52,261.4,43,15.3,17,2,33.29,24.34,11.76,4.13,0
CA,237,510,no,no,40,181.4,139,203.3,159,270.8,157,6.8,9,3,30.84,17.28,12.19,1.84,0
FL,162,415,yes,no,16,179.4,61,125.1,75,143.6,36,7.4,0,1,30.5,10.63,6.46,2.0,1
OH,137,510,no,no,22,207.6,162,166.3,54,269.7,62,5.4,2,8,35.29,14.14,12.14,1.46,0
OH,216,415,no,yes,1,144.4,20,251.2,21,257.5,11,10.2,19,2,24.55,21.35,11.59,2.75,0
OH,8,408,no,no,5,198.0,84,175.3,165,163.7,16,4.8,3,3,33.66,14.9,7.37,1.3,0
OH,7,408,no,no,28,252.2,20,204.8,102,205.0,33,10.6,17,3,42.87,17.41,9.22,2.86,0
KY,36,415,no,yes,26,166.2,142,212.3,44,273.3,155,9.8,7,0,28.25,18.05,12.3,2.65,0
OH,18,408,no,yes,36,282.6,150,290.4,118,196.9,131,8.5,8,4,48.04,24.68,8.86,2.3,0
FL,3,415,no,no,48,182.7,127,244.0,7,247.7,97,11.3,18,4,31.06,20.74,11.15,3.05,0
TX,28,408,no,no,33,134.0,158,234.2,64,174.5,45,10.8,1,1,22.78,19.91,7.85,2.92,0
TX,70,510,no,no,17,225.9,53,207.9,167,140.9,13,14.3,8,0,38.4,17.67,6.34,3.86,0
KY,236,408,no,no,41,173.9,25,158.5,4,135.2,12,11.7,2,4,29.56,13.47,6.08,3.16,0
OH,172,510,no,no,9,236.8,52,212.1,44,184.8,48,9.8,1,4,40.26,18.03,8.32,2.65,1
OH,149,510,no,no,37,202.3,65,308.8,45,223.7,66,3.8,6,6,34.39,26.25,10.07,1.03,0
OH,28,415,no,no,43,162.3,6,225.7,163,105.1,20,12.5,16,1,27.59,19.18,4.73,3.38,0
CA,232,408,no,yes,16,262.1,31,172.4,144,304.0,50,12.5,16,7,44.56,14.65,13.68,3.38,1
IN,54,415,no,no,12,153.0,153,179.1,168,257.7,37,13.6,8,4,26.01,15.22,11.6,3.67,0
CA,182,408,no,no,51,63.1,86,270.9,157,227.7,118,3.8,0,4,10.73,23.03,10.25,1.03,1
IN,65,510,no,no,47,227.6,156,173.4,78,244.1,25,10.6,0,8,38.69,14.74,10.98,2.86,0
OH,100,510,no,no,41,198.9,152,190.0,147,165.0,5,11.8,7,1,33.81,16.15,7.42,3.19,0
OH,21,408,yes,no,26,249.3,158,142.9,163,120.3,17,13.2,16,1,42.38,12.15,5.41,3.56,0
CA,235,408,no,yes,1,132.4,1,186.1,65,222.1,113,11.6,7,4,22.51,15.82,9.99,3.13,0
CA,227,415,no,yes,33,166.7,74,223.7,3,256.4,133,10.2,18,0,28.34,19.01,11.54,2.75,0
IN,13,408,no,yes,30,160.6,28,185.2,87,173.3,168,7.3,3,4,27.3,15.74,7.8,1.97,0
TX,57,408,no,yes,22,230.4,126,201.2,54,149.0,56,9.7,17,4,39.17,17.1,6.7,2.62,0
IN,49,408,no,no,6,215.1,48,142.4,58,170.7,24,11.0,12,7,36.57,12.1,7.68,2.97,1
